x y f(x,y)
6.28319 3.63763 -0.87947
0.00000 3.96833 -0.67728
0.33069 3.96833 -0.35258
0.66139 3.96833 -0.06307
0.99208 3.96833 0.15988
1.32278 3.96833 0.29212
1.65347 3.96833 0.31930
1.98416 3.96833 0.23849
2.31486 3.96833 0.05844
2.64555 3.96833 -0.20133
2.97625 3.96833 -0.51269
3.30694 3.96833 -0.84188
3.63763 3.96833 -1.15323
3.96833 3.96833 -1.41301
4.29902 3.96833 -1.59305
4.62972 3.96833 -1.67387
4.96041 3.96833 -1.64668
5.29110 3.96833 -1.51445
5.62180 3.96833 -1.29149
5.95249 3.96833 -1.00198
6.28319 3.96833 -0.67728
0.00000 4.29902 -0.40170
0.33069 4.29902 -0.07700
0.66139 4.29902 0.21252
0.99208 4.29902 0.43547
1.32278 4.29902 0.56770
1.65347 4.29902 0.59489
1.98416 4.29902 0.51408
2.31486 4.29902 0.33403
2.64555 4.29902 0.07425
2.97625 4.29902 -0.23710
3.30694 4.29902 -0.56629
3.63763 4.29902 -0.87764
3.96833 4.29902 -1.13742
4.29902 4.29902 -1.31747
4.62972 4.29902 -1.39828
4.96041 4.29902 -1.37110
5.29110 4.29902 -1.23886
5.62180 4.29902 -1.01591
5.95249 4.29902 -0.72639
6.28319 4.29902 -0.40170
0.00000 4.62972 -0.08258
0.33069 4.62972 0.24212
0.66139 4.62972 0.53163
0.99208 4.62972 0.75459
1.32278 4.62972 0.88682
1.65347 4.62972 0.91401
1.98416 4.62972 0.83319
2.31486 4.62972 0.65314
2.64555 4.62972 0.39337
2.97625 4.62972 0.08202
3.30694 4.62972 -0.24717
3.63763 4.62972 -0.55853
3.96833 4.62972 -0.81830
4.29902 4.62972 -0.99835
4.62972 4.62972 -1.07916
4.96041 4.62972 -1.05198
5.29110 4.62972 -0.91975
5.62180 4.62972 -0.69679
5.95249 4.62972 -0.40728
6.28319 4.62972 -0.08258
0.00000 4.96041 0.24549
0.33069 4.96041 0.57018
0.66139 4.96041 0.85970
0.99208 4.96041 1.08265
1.32278 4.96041 1.21489
1.65347 4.96041 1.24207
1.98416 4.96041 1.16126
2.31486 4.96041 0.98121
2.64555 4.96041 0.72143
2.97625 4.96041 0.41008
3.30694 4.96041 0.08089
3.63763 4.96041 -0.23046
3.96833 4.96041 -0.49024
4.29902 4.96041 -0.67029
4.62972 4.96041 -0.75110
4.96041 4.96041 -0.72391
5.29110 4.96041 -0.59168
5.62180 4.96041 -0.36873
5.95249 4.96041 -0.07921
6.28319 4.96041 0.24549
0.00000 5.29110 0.54695
0.33069 5.29110 0.87165
0.66139 5.29110 1.16116
0.99208 5.29110 1.38411
1.32278 5.29110 1.51635
1.65347 5.29110 1.54353
1.98416 5.29110 1.46272
2.31486 5.29110 1.28267
2.64555 5.29110 1.02290
2.97625 5.29110 0.71154
3.30694 5.29110 0.38235
3.63763 5.29110 0.07100
3.96833 5.29110 -0.18878
4.29902 5.29110 -0.36883
4.62972 5.29110 -0.44964
4.96041 5.29110 -0.42245
5.29110 5.29110 -0.29022
5.62180 5.29110 -0.06726
5.95249 5.29110 0.22225
6.28319 5.29110 0.54695
0.00000 5.62180 0.78914
0.33069 5.62180 1.11384
0.66139 5.62180 1.40335
0.99208 5.62180 1.62631
1.32278 5.62180 1.75854
1.65347 5.62180 1.78573
1.98416 5.62180 1.70491
2.31486 5.62180 1.52486
2.64555 5.62180 1.26509
2.97625 5.62180 0.95374
3.30694 5.62180 0.62455
3.63763 5.62180 0.31319
3.96833 5.62180 0.05342
4.29902 5.62180 -0.12663
4.62972 5.62180 -0.20744
4.96041 5.62180 -0.18026
5.29110 5.62180 -0.04803
5.62180 5.62180 0.17493
5.95249 5.62180 0.46444
6.28319 5.62180 0.78914
0.00000 5.95249 0.94582
0.33069 5.95249 1.27052
0.66139 5.95249 1.56003
0.99208 5.95249 1.78298
1.32278 5.95249 1.91522
1.65347 5.95249 1.94240
1.98416 5.95249 1.86159
2.31486 5.95249 1.68154
2.64555 5.95249 1.42176
2.97625 5.95249 1.11041
3.30694 5.95249 0.78122
3.63763 5.95249 0.46987
3.96833 5.95249 0.21009
4.29902 5.95249 0.03004
4.62972 5.95249 -0.05077
4.96041 5.95249 -0.02358
5.29110 5.95249 0.10865
5.62180 5.95249 0.33160
5.95249 5.95249 0.62112
6.28319 5.95249 0.94582
0.00000 6.28319 1.00000
0.33069 6.28319 1.32470
0.66139 6.28319 1.61421
0.99208 6.28319 1.83717
1.32278 6.28319 1.96940
1.65347 6.28319 1.99658
1.98416 6.28319 1.91577
2.31486 6.28319 1.73572
2.64555 6.28319 1.47595
2.97625 6.28319 1.16459
3.30694 6.28319 0.83541
3.63763 6.28319 0.52405
3.96833 6.28319 0.26428
4.29902 6.28319 0.08423
4.62972 6.28319 0.00342
4.96041 6.28319 0.03060
5.29110 6.28319 0.16283
5.62180 6.28319 0.38579
5.95249 6.28319 0.67530
6.28319 6.28319 1.00000
